MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,REGULARITY,CHURN
4250.0,15.0,4251.0,1417.0,17.0,4.0,54.0,0.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,281.0,4.0,1.0
3600.0,2.0,1020.0,340.0,2.0,281.0,17.0,0.0
13500.0,15.0,13502.0,4501.0,18.0,43804.0,62.0,0.0
1000.0,1.0,985.0,328.0,1.0,281.0,11.0,0.0
8500.0,17.0,9000.0,3000.0,18.0,281.0,62.0,0.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,281.0,2.0,0.0
7000.0,16.0,7229.0,2410.0,22.0,1601.0,55.0,0.0
1500.0,3.0,1502.0,501.0,12.0,281.0,31.0,0.0
4000.0,8.0,4000.0,1333.0,8.0,281.0,45.0,0.0
200.0,1.0,3000.0,1000.0,14.142970776413627,281.0,1.0,0.0
12650.0,27.0,11870.0,3957.0,36.0,8453.0,62.0,0.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,281.0,2.0,1.0
3000.0,11.697949805585012,1.0,0.0,1.0,281.0,26.0,0.0
3500.0,7.0,3500.0,1167.0,7.0,281.0,11.0,0.0
5400.0,24.0,5890.0,1963.0,29.0,7371.0,59.0,0.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,0.0,37.0,0.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,281.0,5.0,1.0
7600.0,46.0,7875.0,2625.0,57.0,901.0,62.0,0.0
21200.0,22.0,22202.0,7401.0,27.0,138609.0,58.0,0.0
200.0,1.0,3000.0,1000.0,14.142970776413627,281.0,12.0,0.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,0.0,36.0,1.0
3000.0,11.697949805585012,3000.0,1000.0,14.142970776413627,281.0,4.0,1.0
5450.0,14.0,5696.0,1899.0,16.0,32.0,25.0,0.0
7600.0,16.0,7599.0,2533.0,19.0,1.0,62.0,0.0
4800.0,12.0,4201.0,1400.0,15.0,0.0,62.0,0.0
12000.0,4.0,12002.0,4001.0,6.0,1928.0,62.0,0.0
31600.0,66.0,32190.0,10730.0,64.0,4199.0,62.0,0.0
11450.0,27.0,11448.0,3816.0,30.0,130.0,62.0,0.0
1000.0,2.0,1000.0,333.0,2.0,2412.0,20.0,0.0
5000.0,25.0,4980.0,1660.0,25.0,2665.0,53.0,0.0
3700.0,7.0,4399.0,1466.0,15.0,281.0,40.0,0.0
1700.0,4.0,1625.0,542.0,5.0,281.0,43.0,0.0
